time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2022/09/23/15:27:33.316689,0,70053,0,GPS1_Frame,42.3335483333333,-71.0909116666667,17.4,327739.303426113,4688928.04994545,19,T
2022/09/23/15:27:34.317234,0,70054,0,GPS1_Frame,42.3335433333333,-71.0909216666667,17.4,327738.465885854,4688927.514991,19,T
2022/09/23/15:27:35.318333,0,70055,0,GPS1_Frame,42.3335366666667,-71.0909333333333,17.4,327737.486480179,4688926.79834231,19,T
2022/09/23/15:27:36.315996,0,70056,0,GPS1_Frame,42.3335316666667,-71.0909433333333,17.4,327736.648939628,4688926.26338806,19,T
2022/09/23/15:27:37.319725,0,70057,0,GPS1_Frame,42.333525,-71.090955,17.5,327735.669533588,4688925.54673962,19,T
2022/09/23/15:27:38.318397,0,70058,0,GPS1_Frame,42.3335183333333,-71.090965,17.6,327734.827442259,4688924.82671503,19,T
2022/09/23/15:27:39.350817,0,70059,0,GPS1_Frame,42.3335133333333,-71.090975,17.6,327733.989901265,4688924.29176109,19,T
2022/09/23/15:27:40.317104,0,70060,0,GPS1_Frame,42.3335083333333,-71.090985,17.6,327733.152360139,4688923.75680725,19,T
2022/09/23/15:27:41.318719,0,70061,0,GPS1_Frame,42.3335016666667,-71.0909933333333,17.6,327732.447583287,4688923.03340663,19,T
2022/09/23/15:27:42.380793,0,70062,0,GPS1_Frame,42.3334966666667,-71.0910033333334,17.5,327731.610041889,4688922.49845296,19,T
2022/09/23/15:27:43.317464,0,70063,0,GPS1_Frame,42.3334916666667,-71.0910133333333,17.4,327730.772500365,4688921.96349939,19,T
2022/09/23/15:27:44.349089,0,70064,0,GPS1_Frame,42.333485,-71.0910216666667,17.3,327730.067723089,4688921.240099,19,T
2022/09/23/15:27:45.346715,0,70065,0,GPS1_Frame,42.33348,-71.0910316666667,17.3,327729.230181295,4688920.7051456,19,T
2022/09/23/15:27:46.379700,0,70066,0,GPS1_Frame,42.3334733333333,-71.0910416666667,17.3,327728.388088723,4688919.98512176,19,T
2022/09/23/15:27:47.346125,0,70067,0,GPS1_Frame,42.3334666666667,-71.0910516666667,17.3,327727.545995975,4688919.26509801,19,T
2022/09/23/15:27:48.318934,0,70068,0,GPS1_Frame,42.33346,-71.0910633333333,17.3,327726.566588017,4688918.54845079,19,T
2022/09/23/15:27:49.318564,0,70069,0,GPS1_Frame,42.3334533333333,-71.0910733333333,17.2,327725.724494913,4688917.82842725,19,T
2022/09/23/15:27:50.318500,0,70070,0,GPS1_Frame,42.3334483333333,-71.091085,17.2,327724.749637306,4688917.29685082,19,T
2022/09/23/15:27:51.347471,0,70071,0,GPS1_Frame,42.3334416666667,-71.091095,17.3,327723.907543864,4688916.57682749,19,T
2022/09/23/15:27:52.316037,0,70072,0,GPS1_Frame,42.3334366666667,-71.0911066666667,17.3,327722.932685939,4688916.04525131,19,T
2022/09/23/15:27:53.348126,0,70073,0,GPS1_Frame,42.33343,-71.0911183333333,17.4,327721.953277051,4688915.32860472,19,T
2022/09/23/15:27:54.319446,0,70074,0,GPS1_Frame,42.3334233333333,-71.09113,17.4,327720.973867962,4688914.61195825,19,T
2022/09/23/15:27:55.349305,0,70075,0,GPS1_Frame,42.3334183333333,-71.0911416666667,17.4,327719.999009532,4688914.08038247,19,T
2022/09/23/15:27:56.316792,0,70076,0,GPS1_Frame,42.3334133333333,-71.0911533333333,17.3,327719.024150952,4688913.54880681,19,T
2022/09/23/15:27:57.313586,0,70077,0,GPS1_Frame,42.3334083333333,-71.0911633333333,17.2,327718.186607371,4688913.01385469,19,T
2022/09/23/15:27:58.316568,0,70078,0,GPS1_Frame,42.3334016666667,-71.091175,17.3,327717.207197564,4688912.29720873,19,T
2022/09/23/15:27:59.317878,0,70079,0,GPS1_Frame,42.333395,-71.0911866666667,17.4,327716.227787555,4688911.58056291,19,T
2022/09/23/15:28:00.318786,0,70080,0,GPS1_Frame,42.3333883333333,-71.0911983333333,17.5,327715.248377347,4688910.86391721,19,T
2022/09/23/15:28:01.350934,0,70081,0,GPS1_Frame,42.3333816666667,-71.0912083333333,17.5,327714.406282147,4688910.14389498,19,T
2022/09/23/15:28:02.349045,0,70082,0,GPS1_Frame,42.3333766666667,-71.09122,17.5,327713.431422576,4688909.61232008,19,T
2022/09/23/15:28:03.317171,0,70083,0,GPS1_Frame,42.3333716666667,-71.0912316666667,17.4,327712.456562853,4688909.08074531,19,T
2022/09/23/15:28:04.318839,0,70084,0,GPS1_Frame,42.333365,-71.0912416666667,17.5,327711.61446715,4688908.3607234,19,T
2022/09/23/15:28:05.316408,0,70085,0,GPS1_Frame,42.3333583333333,-71.0912533333333,17.6,327710.635056011,4688907.64407832,19,T
2022/09/23/15:28:06.349458,0,70086,0,GPS1_Frame,42.3333516666667,-71.091265,17.7,327709.65564467,4688906.92743338,19,T
2022/09/23/15:28:07.317930,0,70087,0,GPS1_Frame,42.333345,-71.091275,17.8,327708.813548421,4688906.20741179,19,T
2022/09/23/15:28:08.317466,0,70088,0,GPS1_Frame,42.3333383333333,-71.091285,17.9,327707.971451999,4688905.4873903,19,T
2022/09/23/15:28:09.318649,0,70089,0,GPS1_Frame,42.3333333333333,-71.091295,17.8,327707.133906591,4688904.95243946,19,T
2022/09/23/15:28:10.314404,0,70090,0,GPS1_Frame,42.3333283333333,-71.091305,17.9,327706.296361055,4688904.41748871,19,T
2022/09/23/15:28:11.314548,0,70091,0,GPS1_Frame,42.3333233333333,-71.0913166666667,17.9,327705.321500045,4688903.8859149,19,T
2022/09/23/15:28:12.347554,0,70092,0,GPS1_Frame,42.3333166666667,-71.0913266666667,17.8,327704.479402983,4688903.16589381,19,T
2022/09/23/15:28:13.347353,0,70093,0,GPS1_Frame,42.3333116666667,-71.0913383333333,17.7,327703.504541657,4688902.63432024,19,T
2022/09/23/15:28:14.317303,0,70094,0,GPS1_Frame,42.3333066666667,-71.0913483333333,17.6,327702.666995558,4688902.09936992,19,T
2022/09/23/15:28:15.318053,0,70095,0,GPS1_Frame,42.3333,-71.0913583333333,17.7,327701.824898007,4688901.37934913,19,T
2022/09/23/15:28:16.316709,0,70096,0,GPS1_Frame,42.3332933333333,-71.09137,17.7,327700.845484873,4688900.66270538,19,T
2022/09/23/15:28:17.315648,0,70097,0,GPS1_Frame,42.3332883333333,-71.0913816666667,17.6,327699.870622915,4688900.1311323,19,T
2022/09/23/15:28:18.315419,0,70098,0,GPS1_Frame,42.3332816666667,-71.0913916666667,17.6,327699.028524838,4688899.41111184,19,T
2022/09/23/15:28:19.350178,0,70099,0,GPS1_Frame,42.333275,-71.0914033333333,17.6,327698.049111141,4688898.69446846,19,T
2022/09/23/15:28:20.313669,0,70100,0,GPS1_Frame,42.33327,-71.0914133333333,17.6,327697.211564142,4688898.15951876,19,T
2022/09/23/15:28:21.348328,0,70101,0,GPS1_Frame,42.3332633333333,-71.091425,17.7,327696.232150081,4688897.44287562,19,T
2022/09/23/15:28:22.315895,0,70102,0,GPS1_Frame,42.3332566666667,-71.0914366666667,17.8,327695.252735821,4688896.72623262,19,T
2022/09/23/15:28:23.348416,0,70103,0,GPS1_Frame,42.3332516666667,-71.0914466666667,17.7,327694.415188368,4688896.19128324,19,T
2022/09/23/15:28:24.318655,0,70104,0,GPS1_Frame,42.3332466666667,-71.091455,17.6,327693.714956295,4688895.65295689,19,T
2022/09/23/15:28:25.317072,0,70105,0,GPS1_Frame,42.3332416666667,-71.0914633333333,17.6,327693.014724112,4688895.11463061,19,T
2022/09/23/15:28:26.349623,0,70106,0,GPS1_Frame,42.333235,-71.0914716666667,17.5,327692.309940261,4688894.39123385,19,T
2022/09/23/15:28:27.317319,0,70107,0,GPS1_Frame,42.3332283333333,-71.0914816666667,17.4,327691.467840715,4688893.67121426,19,T
2022/09/23/15:28:28.316373,0,70108,0,GPS1_Frame,42.3332233333333,-71.0914916666667,17.3,327690.630292604,4688893.13626532,19,T
2022/09/23/15:28:29.346392,0,70109,0,GPS1_Frame,42.3332183333333,-71.0915016666667,17.3,327689.792744362,4688892.60131647,19,T
2022/09/23/15:28:30.316641,0,70110,0,GPS1_Frame,42.3332116666667,-71.0915133333333,17.3,327688.813328759,4688891.88467433,19,T
2022/09/23/15:28:31.315620,0,70111,0,GPS1_Frame,42.3332066666667,-71.0915216666667,17.3,327688.113095822,4688891.34634852,19,T
2022/09/23/15:28:32.315827,0,70112,0,GPS1_Frame,42.3332,-71.09153,17.2,327687.408311088,4688890.62295223,19,T
2022/09/23/15:28:33.347088,0,70113,0,GPS1_Frame,42.333195,-71.0915416666667,17.1,327686.433446673,4688890.09138096,19,T
2022/09/23/15:28:34.313481,0,70114,0,GPS1_Frame,42.33319,-71.0915516666667,17,327685.595897741,4688889.5564326,19,T
2022/09/23/15:28:35.343462,0,70115,0,GPS1_Frame,42.333185,-71.0915633333333,17,327684.621033034,4688889.02486157,19,T
2022/09/23/15:28:36.349631,0,70116,0,GPS1_Frame,42.3331816666667,-71.0915733333333,16.9,327683.788035611,4688888.67498396,19,T
2022/09/23/15:28:37.346873,0,70117,0,GPS1_Frame,42.3331766666667,-71.0915816666667,16.9,327683.087801961,4688888.13665864,19,T
2022/09/23/15:28:38.348119,0,70118,0,GPS1_Frame,42.3331716666667,-71.0915916666667,16.9,327682.250252529,4688887.60171066,19,T
2022/09/23/15:28:39.331519,0,70119,0,GPS1_Frame,42.333165,-71.0916016666667,16.9,327681.408151127,4688886.88169224,19,T
2022/09/23/15:28:40.314980,0,70120,0,GPS1_Frame,42.33316,-71.0916116666667,16.8,327680.570601416,4688886.34674445,19,T
2022/09/23/15:28:41.351410,0,70121,0,GPS1_Frame,42.333155,-71.0916216666667,16.8,327679.733051573,4688885.81179677,19,T
2022/09/23/15:28:42.344545,0,70122,0,GPS1_Frame,42.33315,-71.09163,16.8,327679.032817321,4688885.27347183,19,T
2022/09/23/15:28:43.317732,0,70123,0,GPS1_Frame,42.333145,-71.0916383333333,16.8,327678.332582961,4688884.73514696,19,T
2022/09/23/15:28:44.379622,0,70124,0,GPS1_Frame,42.33314,-71.0916483333333,16.8,327677.495032752,4688884.20019953,19,T
2022/09/23/15:28:45.316303,0,70125,0,GPS1_Frame,42.333135,-71.0916566666667,16.8,327676.794798166,4688883.66187481,19,T
2022/09/23/15:28:46.347439,0,70126,0,GPS1_Frame,42.3331283333333,-71.0916666666667,16.9,327675.952695726,4688882.94185701,19,T
2022/09/23/15:28:47.316711,0,70127,0,GPS1_Frame,42.33312,-71.0916766666667,16.8,327675.106041115,4688882.03676877,19,T
2022/09/23/15:28:48.315772,0,70128,0,GPS1_Frame,42.3331133333333,-71.0916883333333,16.7,327674.12662251,4688881.3201286,19,T
2022/09/23/15:28:49.315277,0,70129,0,GPS1_Frame,42.3331083333333,-71.0916983333333,16.8,327673.289071566,4688880.78518166,19,T
2022/09/23/15:28:50.340804,0,70130,0,GPS1_Frame,42.3331016666667,-71.09171,16.9,327672.309652597,4688880.06854174,19,T
2022/09/23/15:28:51.348068,0,70131,0,GPS1_Frame,42.333095,-71.09172,16.9,327671.467549268,4688879.34852446,19,T
2022/09/23/15:28:52.314437,0,70132,0,GPS1_Frame,42.3330883333333,-71.0917316666667,17.1,327670.48812991,4688878.63188479,19,T
2022/09/23/15:28:53.345840,0,70133,0,GPS1_Frame,42.3330833333333,-71.0917416666667,17,327669.650578361,4688878.09693826,19,T
2022/09/23/15:28:54.316490,0,70134,0,GPS1_Frame,42.3330766666667,-71.09175,17,327668.9457904,4688877.37354375,19,T
2022/09/23/15:28:55.313983,0,70135,0,GPS1_Frame,42.3330716666667,-71.09176,17,327668.108238581,4688876.8385974,19,T
2022/09/23/15:28:56.312075,0,70136,0,GPS1_Frame,42.333065,-71.0917683333333,17,327667.403450341,4688876.11520303,19,T
2022/09/23/15:28:57.316562,0,70137,0,GPS1_Frame,42.3330583333333,-71.0917766666667,17,327666.698661953,4688875.39180873,19,T
2022/09/23/15:28:58.317158,0,70138,0,GPS1_Frame,42.3330533333333,-71.0917866666667,17.2,327665.861109723,4688874.85686264,19,T
2022/09/23/15:28:59.317767,0,70139,0,GPS1_Frame,42.3330483333333,-71.0917966666667,17.2,327665.023557361,4688874.32191665,19,T
2022/09/23/15:29:00.347744,0,70140,0,GPS1_Frame,42.333045,-71.091805,17.3,327664.327873098,4688873.96866367,19,T
2022/09/23/15:29:01.318861,0,70141,0,GPS1_Frame,42.3330416666667,-71.0918133333333,17.2,327663.632188764,4688873.61541076,19,T
2022/09/23/15:29:02.316748,0,70142,0,GPS1_Frame,42.3330366666667,-71.0918233333333,17.1,327662.794636075,4688873.08046502,19,T
2022/09/23/15:29:03.347422,0,70143,0,GPS1_Frame,42.33303,-71.0918333333333,17,327661.952530927,4688872.36044884,19,T
2022/09/23/15:29:04.317601,0,70144,0,GPS1_Frame,42.333025,-71.0918433333333,16.9,327661.114977961,4688871.8255033,19,T
2022/09/23/15:29:05.318725,0,70145,0,GPS1_Frame,42.3330216666667,-71.0918516666667,16.9,327660.419293242,4688871.4722507,19,T
2022/09/23/15:29:06.320899,0,70146,0,GPS1_Frame,42.3330166666667,-71.09186,16.7,327659.719056061,4688870.93392761,19,T
2022/09/23/15:29:07.316299,0,70147,0,GPS1_Frame,42.3330116666667,-71.0918683333333,16.8,327659.018818769,4688870.3956046,19,T
2022/09/23/15:29:08.316875,0,70148,0,GPS1_Frame,42.3330083333333,-71.09188,17,327658.048501735,4688870.04910769,19,T
2022/09/23/15:29:09.382227,0,70149,0,GPS1_Frame,42.3330033333333,-71.0918916666667,17,327657.073632143,4688869.51754037,19,T
2022/09/23/15:29:10.314810,0,70150,0,GPS1_Frame,42.333,-71.0919,17,327656.37794698,4688869.16428815,19,T
2022/09/23/15:29:11.315668,0,70151,0,GPS1_Frame,42.3329933333333,-71.09191,17,327655.535840691,4688868.44427271,19,T
2022/09/23/15:29:12.383412,0,70152,0,GPS1_Frame,42.3329883333333,-71.0919216666667,16.9,327654.560970676,4688867.91270573,19,T
2022/09/23/15:29:13.347485,0,70153,0,GPS1_Frame,42.3329833333333,-71.0919333333333,16.9,327653.586100508,4688867.38113888,19,T
2022/09/23/15:29:14.316954,0,70154,0,GPS1_Frame,42.33298,-71.0919433333333,16.8,327652.753098854,4688867.03126485,19,T
2022/09/23/15:29:15.316821,0,70155,0,GPS1_Frame,42.332975,-71.091955,16.8,327651.778228416,4688866.49969825,19,T
2022/09/23/15:29:16.316563,0,70156,0,GPS1_Frame,42.3329716666667,-71.091965,16.8,327650.94522656,4688866.14982443,19,T
2022/09/23/15:29:17.312700,0,70157,0,GPS1_Frame,42.3329666666667,-71.091975,16.9,327650.107671977,4688865.61488016,19,T
2022/09/23/15:29:18.314101,0,70158,0,GPS1_Frame,42.3329616666667,-71.0919866666667,16.8,327649.132801135,4688865.08331391,19,T
2022/09/23/15:29:19.312846,0,70159,0,GPS1_Frame,42.3329583333333,-71.0919983333333,16.8,327648.162482822,4688864.73681834,19,T
2022/09/23/15:29:20.309396,0,70160,0,GPS1_Frame,42.332955,-71.09201,16.9,327647.192164412,4688864.3903229,19,T
2022/09/23/15:29:21.311758,0,70161,0,GPS1_Frame,42.3329516666667,-71.09202,17,327646.359162054,4688864.04044961,19,T
2022/09/23/15:29:22.309485,0,70162,0,GPS1_Frame,42.332945,-71.0920316666667,16.9,327645.379737931,4688863.32381333,19,T
2022/09/23/15:29:23.308028,0,70163,0,GPS1_Frame,42.33294,-71.0920416666667,16.9,327644.542182568,4688862.7888697,19,T
2022/09/23/15:29:24.344707,0,70164,0,GPS1_Frame,42.332935,-71.0920533333333,16.9,327643.567310884,4688862.2573042,19,T
2022/09/23/15:29:25.359917,0,70165,0,GPS1_Frame,42.3329283333333,-71.092065,16.9,327642.587886219,4688861.54066829,19,T
2022/09/23/15:29:26.348738,0,70166,0,GPS1_Frame,42.3329183333333,-71.0920766666667,17.2,327641.599355647,4688860.45389142,19,T
2022/09/23/15:29:27.344264,0,70167,0,GPS1_Frame,42.33291,-71.0920883333333,17.4,327640.615377648,4688859.55218523,19,T
2022/09/23/15:29:28.344728,0,70168,0,GPS1_Frame,42.3329033333333,-71.0920983333333,17.6,327639.773268566,4688858.83217161,19,T
2022/09/23/15:29:29.313835,0,70169,0,GPS1_Frame,42.332895,-71.09211,17.7,327638.78929011,4688857.93046566,19,T
2022/09/23/15:29:30.314193,0,70170,0,GPS1_Frame,42.3328883333333,-71.09212,17.7,327637.947180648,4688857.21045225,19,T
2022/09/23/15:29:31.310844,0,70171,0,GPS1_Frame,42.3328833333333,-71.0921316666667,17.8,327636.972307673,4688856.67888763,19,T
2022/09/23/15:29:32.347150,0,70172,0,GPS1_Frame,42.3328766666667,-71.0921433333333,18,327635.992881551,4688855.96225261,19,T
2022/09/23/15:29:33.312099,0,70173,0,GPS1_Frame,42.33287,-71.092155,18.1,327635.013455227,4688855.24561771,19,T
2022/09/23/15:29:34.312946,0,70174,0,GPS1_Frame,42.3328633333333,-71.0921666666667,18.1,327634.034028704,4688854.52898295,19,T
2022/09/23/15:29:35.347566,0,70175,0,GPS1_Frame,42.3328583333333,-71.0921766666667,18.2,327633.196471406,4688853.99404063,19,T
2022/09/23/15:29:36.377811,0,70176,0,GPS1_Frame,42.3328516666667,-71.0921883333333,18.3,327632.217044517,4688853.27740611,19,T
2022/09/23/15:29:37.311022,0,70177,0,GPS1_Frame,42.3328466666667,-71.0922,18.4,327631.242170542,4688852.74584227,19,T
2022/09/23/15:29:38.309588,0,70178,0,GPS1_Frame,42.3328383333333,-71.0922116666667,18.6,327630.258190136,4688851.84413747,19,T
2022/09/23/15:29:39.313490,0,70179,0,GPS1_Frame,42.3328333333333,-71.0922216666667,18.6,327629.420632222,4688851.30919559,19,T
2022/09/23/15:29:40.314368,0,70180,0,GPS1_Frame,42.3328266666667,-71.0922333333333,18.7,327628.441204565,4688850.59256158,19,T
2022/09/23/15:29:41.313039,0,70181,0,GPS1_Frame,42.33282,-71.0922433333333,18.7,327627.599093153,4688849.87254936,19,T
2022/09/23/15:29:42.385904,0,70182,0,GPS1_Frame,42.3328133333333,-71.0922533333333,18.6,327626.756981568,4688849.15253724,19,T
2022/09/23/15:29:43.348570,0,70183,0,GPS1_Frame,42.332805,-71.0922633333333,18.6,327625.910316561,4688848.24745467,19,T
2022/09/23/15:29:44.315039,0,70184,0,GPS1_Frame,42.3327983333333,-71.0922733333333,18.6,327625.068204606,4688847.52744275,19,T
2022/09/23/15:29:45.318147,0,70185,0,GPS1_Frame,42.33279,-71.0922833333333,18.6,327624.22153919,4688846.62236038,19,T
2022/09/23/15:29:46.308805,0,70186,0,GPS1_Frame,42.332785,-71.0922933333333,18.5,327623.383980187,4688846.08741919,19,T
2022/09/23/15:29:47.315892,0,70187,0,GPS1_Frame,42.3327816666667,-71.0923033333333,18.5,327622.55097439,4688845.73754864,19,T
2022/09/23/15:29:48.317776,0,70188,0,GPS1_Frame,42.3327783333333,-71.092315,18.5,327621.580651968,4688845.39105664,19,T
2022/09/23/15:29:49.315379,0,70189,0,GPS1_Frame,42.332775,-71.092325,18.4,327620.747645987,4688845.04118631,19,T
2022/09/23/15:29:50.316892,0,70190,0,GPS1_Frame,42.33277,-71.0923366666667,18.5,327619.772769963,4688844.50962401,19,T
2022/09/23/15:29:51.317001,0,70191,0,GPS1_Frame,42.3327633333333,-71.0923483333333,18.6,327618.793340354,4688843.79299129,19,T
2022/09/23/15:29:52.318319,0,70192,0,GPS1_Frame,42.3327583333333,-71.0923583333333,18.6,327617.955780579,4688843.25805074,19,T
2022/09/23/15:29:53.316638,0,70193,0,GPS1_Frame,42.33275,-71.09237,18.5,327616.971797131,4688842.35634772,19,T
2022/09/23/15:29:54.353304,0,70194,0,GPS1_Frame,42.3327433333333,-71.09238,18.5,327616.129683544,4688841.63633683,19,T
2022/09/23/15:29:55.316347,0,70195,0,GPS1_Frame,42.3327366666667,-71.09239,18.6,327615.287569786,4688840.91632603,19,T
2022/09/23/15:29:56.318701,0,70196,0,GPS1_Frame,42.3327283333333,-71.0923983333333,18.6,327614.578218962,4688840.0078662,19,T
2022/09/23/15:29:57.347522,0,70197,0,GPS1_Frame,42.3327216666667,-71.09241,18.7,327613.598788189,4688839.29123419,19,T
2022/09/23/15:29:58.319981,0,70198,0,GPS1_Frame,42.3327166666667,-71.09242,18.6,327612.761227477,4688838.75629422,19,T
2022/09/23/15:29:59.314166,0,70199,0,GPS1_Frame,42.3327116666667,-71.0924316666667,18.7,327611.78634995,4688838.224733,19,T
2022/09/23/15:30:00.354699,0,70200,0,GPS1_Frame,42.3327066666667,-71.0924416666667,18.7,327610.948788967,4688837.68979324,19,T
2022/09/23/15:30:01.315804,0,70201,0,GPS1_Frame,42.3327016666667,-71.0924516666667,18.7,327610.111227854,4688837.15485359,19,T
2022/09/23/15:30:02.318504,0,70202,0,GPS1_Frame,42.332695,-71.0924616666667,18.6,327609.269112939,4688836.43484348,19,T
2022/09/23/15:30:03.351943,0,70203,0,GPS1_Frame,42.33269,-71.0924716666667,18.8,327608.431551543,4688835.89990402,19,T
2022/09/23/15:30:04.353022,0,70204,0,GPS1_Frame,42.3326833333333,-71.0924833333333,19,327607.452119558,4688835.18327283,19,T
2022/09/23/15:30:05.316282,0,70205,0,GPS1_Frame,42.3326783333333,-71.0924933333333,19.1,327606.61455787,4688834.64833358,19,T
2022/09/23/15:30:06.316206,0,70206,0,GPS1_Frame,42.3326716666667,-71.092505,19.2,327605.635125524,4688833.93170264,19,T
2022/09/23/15:30:07.317536,0,70207,0,GPS1_Frame,42.3326666666667,-71.092515,19.2,327604.797563544,4688833.39676359,19,T
2022/09/23/15:30:08.319540,0,70208,0,GPS1_Frame,42.3326616666667,-71.0925233333333,19.1,327604.097318229,4688832.85844586,19,T
2022/09/23/15:30:09.314383,0,70209,0,GPS1_Frame,42.3326566666667,-71.0925333333333,19.1,327603.259756002,4688832.32350699,19,T
2022/09/23/15:30:10.347071,0,70210,0,GPS1_Frame,42.3326533333333,-71.0925433333333,19.1,327602.426747488,4688831.97363877,19,T
2022/09/23/15:30:11.316753,0,70211,0,GPS1_Frame,42.3326516666667,-71.0925516666667,19,327601.735609575,4688831.80546235,19,T
2022/09/23/15:30:12.390638,0,70212,0,GPS1_Frame,42.3326483333333,-71.0925583333333,19,327601.17723456,4688831.44883661,19,T
2022/09/23/15:30:13.317700,0,70213,0,GPS1_Frame,42.3326483333333,-71.09256,19.1,327601.039917738,4688831.45221546,19,T
2022/09/23/15:30:14.315917,0,70214,0,GPS1_Frame,42.3326466666667,-71.092565,18.9,327600.623413382,4688831.27728146,19,T
2022/09/23/15:30:15.383380,0,70215,0,GPS1_Frame,42.3326466666667,-71.0925666666667,18.6,327600.486096556,4688831.28066032,19,T
2022/09/23/15:30:16.348193,0,70216,0,GPS1_Frame,42.3326466666667,-71.0925716666667,18.3,327600.074146084,4688831.2907969,19,T
2022/09/23/15:30:17.347885,0,70217,0,GPS1_Frame,42.332645,-71.0925766666667,18.1,327599.657641689,4688831.11586296,19,T
2022/09/23/15:30:18.321208,0,70218,0,GPS1_Frame,42.3326416666667,-71.0925816666667,18,327599.236583345,4688830.7558585,19,T
2022/09/23/15:30:19.350844,0,70219,0,GPS1_Frame,42.3326366666667,-71.09259,17.9,327598.536337323,4688830.2175413,19,T
2022/09/23/15:30:20.316412,0,70220,0,GPS1_Frame,42.3326316666667,-71.0926,17.8,327597.698774338,4688829.68260308,19,T
2022/09/23/15:30:21.320659,0,70221,0,GPS1_Frame,42.3326266666667,-71.0926083333333,17.9,327596.998528089,4688829.14428603,19,T
2022/09/23/15:30:22.318300,0,70222,0,GPS1_Frame,42.33262,-71.0926183333333,18,327596.156410845,4688828.42427744,19,T
2022/09/23/15:30:23.354832,0,70223,0,GPS1_Frame,42.3326133333333,-71.0926266666667,17.9,327595.451610327,4688827.70089,19,T
2022/09/23/15:30:24.318109,0,70224,0,GPS1_Frame,42.3326083333333,-71.092635,17.8,327594.751363709,4688827.16257317,19,T
2022/09/23/15:30:25.318884,0,70225,0,GPS1_Frame,42.3326016666667,-71.0926433333333,17.7,327594.046562922,4688826.43918586,19,T
2022/09/23/15:30:26.385646,0,70226,0,GPS1_Frame,42.3325966666667,-71.0926516666667,17.4,327593.34631607,4688825.90086916,19,T
2022/09/23/15:30:27.354850,0,70227,0,GPS1_Frame,42.3325916666667,-71.09266,17.1,327592.64606911,4688825.36255253,19,T
2022/09/23/15:30:28.315031,0,70228,0,GPS1_Frame,42.332585,-71.09267,17.1,327591.80395097,4688824.64254444,19,T
2022/09/23/15:30:29.319533,0,70229,0,GPS1_Frame,42.33258,-71.09268,16.9,327590.966386794,4688824.107607,19,T
2022/09/23/15:30:30.318715,0,70230,0,GPS1_Frame,42.3325766666667,-71.0926916666667,16.9,327589.996059672,4688823.76111924,19,T
2022/09/23/15:30:31.317798,0,70231,0,GPS1_Frame,42.3325733333333,-71.092705,17,327588.888415459,4688823.4180107,19,T
2022/09/23/15:30:32.317478,0,70232,0,GPS1_Frame,42.33257,-71.09272,17,327587.64345414,4688823.07828143,19,T
2022/09/23/15:30:33.354934,0,70233,0,GPS1_Frame,42.3325666666667,-71.0927316666667,17,327586.673126688,4688822.73179413,19,T
2022/09/23/15:30:34.318363,0,70234,0,GPS1_Frame,42.3325633333333,-71.0927416666667,17,327585.840116142,4688822.38192783,19,T
2022/09/23/15:30:35.319726,0,70235,0,GPS1_Frame,42.3325583333333,-71.0927516666667,17.1,327585.002551218,4688821.84699107,19,T
2022/09/23/15:30:36.312348,0,70236,0,GPS1_Frame,42.3325516666667,-71.09276,17.2,327584.297748883,4688821.12360471,19,T
2022/09/23/15:30:37.348289,0,70237,0,GPS1_Frame,42.332545,-71.0927683333333,17.2,327583.592946403,4688820.4002184,19,T
2022/09/23/15:30:38.320659,0,70238,0,GPS1_Frame,42.3325366666667,-71.0927783333333,17.2,327582.746272371,4688819.49514082,19,T
