time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Fix_quality,.Zone,.Letter
2022/10/06/14:59:36.628693,0,68377,0,GPS1_Frame,42.337127685546875,-71.08679962158203,11.800000190734863,328087.8125,4689317.0,5,19,T
2022/10/06/14:59:37.609601,0,68378,0,GPS1_Frame,42.33713912963867,-71.08680725097656,12.399999618530273,328087.03125,4689318.5,2,19,T
2022/10/06/14:59:38.610038,0,68379,0,GPS1_Frame,42.33715057373047,-71.0868148803711,12.399999618530273,328086.9375,4689319.5,5,19,T
2022/10/06/14:59:39.605161,0,68380,0,GPS1_Frame,42.33715057373047,-71.0868148803711,11.899999618530273,328086.59375,4689319.5,2,19,T
2022/10/06/14:59:40.608197,0,68381,0,GPS1_Frame,42.337154388427734,-71.0868148803711,12.100000381469727,328086.875,4689320.0,5,19,T
2022/10/06/14:59:41.612901,0,68382,0,GPS1_Frame,42.337158203125,-71.08680725097656,12.399999618530273,328087.15625,4689320.5,5,19,T
2022/10/06/14:59:42.610241,0,68383,0,GPS1_Frame,42.337158203125,-71.08680725097656,13.0,328087.15625,4689320.5,5,19,T
2022/10/06/14:59:43.611715,0,68384,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.399999618530273,328087.03125,4689321.0,5,19,T
2022/10/06/14:59:44.595881,0,68385,0,GPS1_Frame,42.337158203125,-71.0868148803711,13.300000190734863,328086.96875,4689321.0,2,19,T
2022/10/06/14:59:45.600181,0,68386,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.399999618530273,328087.0625,4689321.0,2,19,T
2022/10/06/14:59:46.610783,0,68387,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.399999618530273,328087.1875,4689321.0,5,19,T
2022/10/06/14:59:47.611663,0,68388,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.5,328087.25,4689321.0,5,19,T
2022/10/06/14:59:48.611832,0,68389,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.5,328087.0625,4689321.0,5,19,T
2022/10/06/14:59:49.593858,0,68390,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.199999809265137,328087.1875,4689321.0,2,19,T
2022/10/06/14:59:50.601490,0,68391,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.300000190734863,328087.3125,4689321.0,5,19,T
2022/10/06/14:59:51.606194,0,68392,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.399999618530273,328087.3125,4689321.0,5,19,T
2022/10/06/14:59:52.600852,0,68393,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.300000190734863,328087.375,4689321.0,5,19,T
2022/10/06/14:59:53.599544,0,68394,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.300000190734863,328087.4375,4689321.0,5,19,T
2022/10/06/14:59:54.600311,0,68395,0,GPS1_Frame,42.337162017822266,-71.08680725097656,13.399999618530273,328087.4375,4689321.0,2,19,T
2022/10/06/14:59:55.609935,0,68396,0,GPS1_Frame,42.337158203125,-71.08678436279297,16.200000762939453,328088.9375,4689320.5,5,19,T
2022/10/06/14:59:56.609455,0,68397,0,GPS1_Frame,42.33713912963867,-71.08676147460938,19.299999237060547,328090.71875,4689318.5,5,19,T
2022/10/06/14:59:57.604446,0,68398,0,GPS1_Frame,42.33713912963867,-71.08676147460938,19.700000762939453,328091.03125,4689318.5,2,19,T
2022/10/06/14:59:58.605809,0,68399,0,GPS1_Frame,42.33713150024414,-71.0867691040039,18.200000762939453,328090.21875,4689317.5,2,19,T
2022/10/06/14:59:59.612281,0,68400,0,GPS1_Frame,42.337135314941406,-71.0867691040039,18.5,328090.1875,4689318.0,5,19,T
2022/10/06/15:00:00.605920,0,68401,0,GPS1_Frame,42.33712387084961,-71.0867691040039,17.899999618530273,328090.5,4689317.0,5,19,T
2022/10/06/15:00:01.608408,0,68402,0,GPS1_Frame,42.337120056152344,-71.0867691040039,18.399999618530273,328090.25,4689316.5,2,19,T
2022/10/06/15:00:02.605938,0,68403,0,GPS1_Frame,42.337135314941406,-71.08678436279297,16.600000381469727,328089.34375,4689318.0,5,19,T
2022/10/06/15:00:03.603013,0,68404,0,GPS1_Frame,42.33714294433594,-71.0867919921875,15.100000381469727,328088.28125,4689319.0,5,19,T
2022/10/06/15:00:04.610354,0,68405,0,GPS1_Frame,42.33713912963867,-71.0867919921875,14.699999809265137,328088.625,4689318.5,5,19,T
2022/10/06/15:00:05.602674,0,68406,0,GPS1_Frame,42.33713912963867,-71.0867919921875,15.0,328088.78125,4689318.5,2,19,T
2022/10/06/15:00:06.606076,0,68407,0,GPS1_Frame,42.33714294433594,-71.08678436279297,15.699999809265137,328089.0,4689319.0,5,19,T
2022/10/06/15:00:07.600080,0,68408,0,GPS1_Frame,42.33714294433594,-71.08678436279297,15.800000190734863,328089.0,4689319.0,2,19,T
2022/10/06/15:00:08.619298,0,68409,0,GPS1_Frame,42.33714294433594,-71.08678436279297,16.0,328089.0625,4689319.0,5,19,T
2022/10/06/15:00:09.603804,0,68410,0,GPS1_Frame,42.33714294433594,-71.08678436279297,16.0,328089.0,4689319.0,2,19,T
2022/10/06/15:00:10.597891,0,68411,0,GPS1_Frame,42.33714294433594,-71.08678436279297,16.0,328088.96875,4689319.0,2,19,T
2022/10/06/15:00:11.601040,0,68412,0,GPS1_Frame,42.3371467590332,-71.08678436279297,16.299999237060547,328088.90625,4689319.0,5,19,T
2022/10/06/15:00:12.615536,0,68413,0,GPS1_Frame,42.33714294433594,-71.08678436279297,16.700000762939453,328089.125,4689319.0,2,19,T
2022/10/06/15:00:13.604173,0,68414,0,GPS1_Frame,42.33714294433594,-71.08678436279297,16.5,328089.1875,4689319.0,2,19,T
2022/10/06/15:00:14.606849,0,68415,0,GPS1_Frame,42.33714294433594,-71.08678436279297,16.299999237060547,328088.9375,4689319.0,2,19,T
2022/10/06/15:00:15.601544,0,68416,0,GPS1_Frame,42.33714294433594,-71.0867919921875,15.899999618530273,328088.375,4689319.0,2,19,T
2022/10/06/15:00:16.609802,0,68417,0,GPS1_Frame,42.3371467590332,-71.08679962158203,15.899999618530273,328088.03125,4689319.0,5,19,T
2022/10/06/15:00:17.616867,0,68418,0,GPS1_Frame,42.33713912963867,-71.0867919921875,15.699999809265137,328088.4375,4689318.5,5,19,T
2022/10/06/15:00:18.604501,0,68419,0,GPS1_Frame,42.33713912963867,-71.0867919921875,15.5,328088.5,4689318.5,5,19,T
2022/10/06/15:00:19.609786,0,68420,0,GPS1_Frame,42.33713912963867,-71.08679962158203,15.300000190734863,328087.96875,4689318.5,5,19,T
2022/10/06/15:00:20.595383,0,68421,0,GPS1_Frame,42.33713912963867,-71.08680725097656,15.5,328087.5,4689318.5,5,19,T
2022/10/06/15:00:21.607728,0,68422,0,GPS1_Frame,42.33713912963867,-71.08680725097656,15.600000381469727,328087.25,4689318.5,5,19,T
2022/10/06/15:00:22.599030,0,68423,0,GPS1_Frame,42.33713912963867,-71.08680725097656,15.699999809265137,328087.15625,4689318.5,5,19,T
2022/10/06/15:00:23.605556,0,68424,0,GPS1_Frame,42.33713912963867,-71.08680725097656,16.600000381469727,328087.4375,4689318.5,5,19,T
2022/10/06/15:00:24.606624,0,68425,0,GPS1_Frame,42.33713912963867,-71.08679962158203,17.200000762939453,328087.625,4689318.5,5,19,T
2022/10/06/15:00:25.596496,0,68426,0,GPS1_Frame,42.33713912963867,-71.08679962158203,17.399999618530273,328087.78125,4689318.5,5,19,T
2022/10/06/15:00:26.602921,0,68427,0,GPS1_Frame,42.33713912963867,-71.08679962158203,17.5,328088.0625,4689318.5,5,19,T
2022/10/06/15:00:27.604246,0,68428,0,GPS1_Frame,42.33713912963867,-71.08679962158203,17.5,328088.0,4689318.5,2,19,T
2022/10/06/15:00:28.619086,0,68429,0,GPS1_Frame,42.33715057373047,-71.08680725097656,20.899999618530273,328087.53125,4689319.5,2,19,T
2022/10/06/15:00:29.606012,0,68430,0,GPS1_Frame,42.33716583251953,-71.08680725097656,22.799999237060547,328087.21875,4689321.5,2,19,T
2022/10/06/15:00:30.609100,0,68431,0,GPS1_Frame,42.3371696472168,-71.08679962158203,24.299999237060547,328087.90625,4689321.5,5,19,T
2022/10/06/15:00:31.607624,0,68432,0,GPS1_Frame,42.337162017822266,-71.08676147460938,23.700000762939453,328091.21875,4689321.0,5,19,T
2022/10/06/15:00:32.609820,0,68433,0,GPS1_Frame,42.337158203125,-71.0867919921875,20.700000762939453,328088.8125,4689321.0,5,19,T
2022/10/06/15:00:33.612312,0,68434,0,GPS1_Frame,42.337162017822266,-71.08679962158203,18.799999237060547,328088.1875,4689321.0,5,19,T
2022/10/06/15:00:34.604526,0,68435,0,GPS1_Frame,42.337162017822266,-71.08679962158203,17.799999237060547,328088.0,4689321.0,5,19,T
2022/10/06/15:00:35.607484,0,68436,0,GPS1_Frame,42.337162017822266,-71.08679962158203,16.799999237060547,328087.65625,4689321.0,5,19,T
2022/10/06/15:00:36.606822,0,68437,0,GPS1_Frame,42.337162017822266,-71.08680725097656,16.0,328087.34375,4689321.0,5,19,T
2022/10/06/15:00:37.604576,0,68438,0,GPS1_Frame,42.337162017822266,-71.08680725097656,15.300000190734863,328087.375,4689321.0,5,19,T
2022/10/06/15:00:38.598246,0,68439,0,GPS1_Frame,42.33716583251953,-71.08680725097656,15.100000381469727,328087.3125,4689321.5,5,19,T
2022/10/06/15:00:39.608044,0,68440,0,GPS1_Frame,42.33716583251953,-71.08680725097656,14.699999809265137,328087.0625,4689321.5,5,19,T
2022/10/06/15:00:40.601786,0,68441,0,GPS1_Frame,42.337162017822266,-71.0868148803711,14.600000381469727,328086.5,4689321.0,5,19,T
2022/10/06/15:00:41.600741,0,68442,0,GPS1_Frame,42.337154388427734,-71.08682250976562,14.800000190734863,328086.03125,4689320.0,5,19,T
2022/10/06/15:00:42.595972,0,68443,0,GPS1_Frame,42.3371467590332,-71.08683013916016,14.899999618530273,328085.59375,4689319.0,5,19,T
2022/10/06/15:00:43.598563,0,68444,0,GPS1_Frame,42.337135314941406,-71.08683013916016,15.0,328085.5,4689318.0,5,19,T
2022/10/06/15:00:44.600660,0,68445,0,GPS1_Frame,42.33712387084961,-71.08683013916016,15.100000381469727,328085.3125,4689316.5,5,19,T
2022/10/06/15:00:45.607830,0,68446,0,GPS1_Frame,42.33711242675781,-71.08683776855469,15.100000381469727,328084.9375,4689315.5,5,19,T
2022/10/06/15:00:46.603041,0,68447,0,GPS1_Frame,42.337100982666016,-71.08683776855469,15.0,328084.53125,4689314.5,5,19,T
2022/10/06/15:00:47.595974,0,68448,0,GPS1_Frame,42.337093353271484,-71.08684539794922,14.899999618530273,328084.09375,4689313.5,5,19,T
2022/10/06/15:00:48.614381,0,68449,0,GPS1_Frame,42.33708190917969,-71.08684539794922,15.0,328083.625,4689312.0,5,19,T
2022/10/06/15:00:49.600559,0,68450,0,GPS1_Frame,42.33707046508789,-71.08685302734375,14.899999618530273,328083.28125,4689311.0,5,19,T
2022/10/06/15:00:50.601062,0,68451,0,GPS1_Frame,42.33706283569336,-71.08685302734375,14.800000190734863,328083.0625,4689310.0,5,19,T
2022/10/06/15:00:51.606264,0,68452,0,GPS1_Frame,42.33705520629883,-71.08686065673828,14.5,328082.875,4689309.5,5,19,T
2022/10/06/15:00:52.600145,0,68453,0,GPS1_Frame,42.33705139160156,-71.08686065673828,14.399999618530273,328082.90625,4689309.0,5,19,T
2022/10/06/15:00:53.616312,0,68454,0,GPS1_Frame,42.3370475769043,-71.08685302734375,14.800000190734863,328083.0,4689308.5,5,19,T
2022/10/06/15:00:54.602382,0,68455,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.0,328082.84375,4689308.5,4,19,T
2022/10/06/15:00:55.605885,0,68456,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.100000381469727,328082.8125,4689308.5,4,19,T
2022/10/06/15:00:56.598299,0,68457,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.100000381469727,328082.84375,4689308.5,4,19,T
2022/10/06/15:00:57.607803,0,68458,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.100000381469727,328082.84375,4689308.5,4,19,T
2022/10/06/15:00:58.620058,0,68459,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.100000381469727,328082.84375,4689308.5,4,19,T
2022/10/06/15:00:59.607645,0,68460,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.0,328082.875,4689308.5,4,19,T
2022/10/06/15:01:00.607791,0,68461,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.0,328082.84375,4689308.5,4,19,T
2022/10/06/15:01:01.609908,0,68462,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.0,328082.8125,4689308.5,4,19,T
2022/10/06/15:01:02.609020,0,68463,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.0,328082.8125,4689308.5,4,19,T
2022/10/06/15:01:03.619376,0,68464,0,GPS1_Frame,42.3370475769043,-71.08686065673828,14.0,328082.8125,4689308.5,4,19,T
2022/10/06/15:01:04.599930,0,68465,0,GPS1_Frame,42.3370475769043,-71.08686065673828,13.899999618530273,328082.84375,4689308.5,4,19,T
2022/10/06/15:01:05.598802,0,68466,0,GPS1_Frame,42.3370475769043,-71.08686065673828,13.800000190734863,328082.84375,4689308.5,4,19,T
2022/10/06/15:01:06.595388,0,68467,0,GPS1_Frame,42.3370475769043,-71.08686065673828,13.800000190734863,328082.84375,4689308.5,4,19,T
2022/10/06/15:01:07.600046,0,68468,0,GPS1_Frame,42.3370475769043,-71.08686065673828,13.800000190734863,328082.84375,4689308.5,4,19,T
2022/10/06/15:01:08.598039,0,68469,0,GPS1_Frame,42.3370475769043,-71.08686065673828,13.800000190734863,328082.84375,4689308.5,4,19,T
2022/10/06/15:01:09.598273,0,68470,0,GPS1_Frame,42.3370475769043,-71.08686065673828,13.800000190734863,328082.875,4689308.5,4,19,T
2022/10/06/15:01:10.603058,0,68471,0,GPS1_Frame,42.3370475769043,-71.08686065673828,13.800000190734863,328082.875,4689308.5,4,19,T
2022/10/06/15:01:11.608951,0,68472,0,GPS1_Frame,42.3370475769043,-71.08686065673828,13.800000190734863,328082.875,4689308.5,4,19,T
2022/10/06/15:01:12.605912,0,68473,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328082.90625,4689308.5,4,19,T
2022/10/06/15:01:13.605248,0,68474,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328082.9375,4689308.5,4,19,T
2022/10/06/15:01:14.590550,0,68475,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328082.90625,4689308.5,2,19,T
2022/10/06/15:01:15.601666,0,68476,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328082.90625,4689308.5,5,19,T
2022/10/06/15:01:16.602917,0,68477,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328082.90625,4689308.5,5,19,T
2022/10/06/15:01:17.606547,0,68478,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328082.9375,4689308.5,5,19,T
2022/10/06/15:01:18.601218,0,68479,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328082.96875,4689308.5,5,19,T
2022/10/06/15:01:19.604475,0,68480,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328082.96875,4689308.5,4,19,T
2022/10/06/15:01:20.615076,0,68481,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328083.0,4689308.5,4,19,T
2022/10/06/15:01:21.607432,0,68482,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328083.0,4689308.5,4,19,T
2022/10/06/15:01:22.605885,0,68483,0,GPS1_Frame,42.3370475769043,-71.08685302734375,13.800000190734863,328083.0,4689308.5,4,19,T
2022/10/06/15:01:23.598175,0,68484,0,GPS1_Frame,42.3370475769043,-71.08685302734375,14.199999809265137,328082.96875,4689308.5,4,19,T
2022/10/06/15:01:24.604750,0,68485,0,GPS1_Frame,42.33705139160156,-71.08685302734375,14.300000190734863,328083.0,4689308.5,4,19,T
2022/10/06/15:01:25.622345,0,68486,0,GPS1_Frame,42.3370475769043,-71.08685302734375,14.199999809265137,328083.0,4689308.5,4,19,T
2022/10/06/15:01:26.606427,0,68487,0,GPS1_Frame,42.3370475769043,-71.08685302734375,14.199999809265137,328082.96875,4689308.5,4,19,T
2022/10/06/15:01:27.606187,0,68488,0,GPS1_Frame,42.3370475769043,-71.08685302734375,14.199999809265137,328083.0,4689308.5,4,19,T
2022/10/06/15:01:28.601056,0,68489,0,GPS1_Frame,42.3370475769043,-71.08685302734375,14.199999809265137,328083.0,4689308.5,4,19,T
2022/10/06/15:01:29.606461,0,68490,0,GPS1_Frame,42.3370475769043,-71.08685302734375,14.199999809265137,328083.0,4689308.5,4,19,T
2022/10/06/15:01:30.620047,0,68491,0,GPS1_Frame,42.33705139160156,-71.08685302734375,14.199999809265137,328083.03125,4689308.5,4,19,T
